rst,area_ha,fsID,pub_priv,HYBRID,BAU,WOOD,BIO
4_1,4.857,1020,1,2,2,2,2
4_1,4.564,1017,1,2,2,2,2
4_2,4.698,1022,1,2,2,2,2
4_1,4.300,1021,1,2,2,2,2
4_1,4.475,1012,1,2,2,2,2
4_1,4.562,1010,1,2,2,2,2
4_1,4.945,1016,1,2,2,2,1
4_1,4.288,1015,1,2,2,2,1
5_3,10.954,973,1,2,2,2,2
5_3,7.637,972,1,2,2,2,2
2_1,4.862,976,1,2,2,2,2
5_3,10.884,974,1,2,2,2,2
5_3,5.082,965,1,2,2,2,2
5_3,5.170,963,1,2,2,2,2
5_3,6.321,968,1,2,2,2,2
5_3,9.477,967,1,2,2,2,2
4_1,4.515,991,1,2,2,2,2
4_1,4.340,984,1,2,2,2,2
4_1,4.175,995,1,2,2,2,2
4_1,4.318,994,0,2,2,2,2
2_1,4.690,979,1,2,2,2,2
2_1,4.837,978,1,2,2,2,2
4_1,4.685,982,1,2,2,2,2
4_1,4.144,981,1,2,2,2,2
5_3,5.482,937,1,2,2,2,2
5_3,9.725,936,1,2,2,2,2
5_3,21.000,942,1,2,2,2,1
5_3,10.265,941,1,2,2,2,2
5_3,18.545,931,1,2,2,2,2
5_3,16.667,930,1,2,2,2,2
5_3,5.413,935,1,2,2,2,2
5_3,8.047,933,1,2,2,2,2
5_3,5.874,957,1,2,2,2,2
5_3,6.224,956,1,2,2,2,1
5_3,11.344,959,1,2,2,2,2
5_3,4.717,958,1,2,2,2,2
5_3,8.069,944,1,2,2,2,1
5_3,10.592,943,1,2,2,2,1
5_3,12.548,952,1,2,2,2,2
5_3,5.918,945,1,2,2,2,1
5_3,8.704,913,1,2,2,2,1
5_3,4.726,911,1,2,2,2,2
5_3,13.051,917,1,2,2,2,2
5_3,10.497,915,1,2,2,2,2
5_3,6.518,906,1,2,2,2,2
5_3,7.062,904,1,2,2,2,2
5_3,8.806,910,1,2,2,2,2
5_3,3.491,907,1,2,2,2,2
5_3,8.173,926,1,2,2,2,2
5_3,6.184,924,0,2,2,2,2
5_3,7.237,928,1,2,2,2,2
5_3,5.494,927,1,2,2,2,2
5_3,11.377,920,1,2,2,2,2
5_3,8.411,919,1,2,2,2,2
5_3,8.013,922,1,2,2,2,2
5_3,15.440,921,1,2,2,2,2
5_3,2.813,891,1,2,2,2,2
5_3,6.329,890,0,2,2,2,2
5_3,15.389,894,1,2,2,2,1
5_3,3.849,892,1,2,2,2,2
5_2,4.478,886,1,2,2,2,2
5_2,2.976,885,1,2,2,2,2
5_2,6.092,889,1,2,2,2,2
5_2,2.213,888,1,2,2,2,2
5_3,7.017,901,1,2,2,2,2
5_3,7.164,900,1,2,2,2,2
5_3,8.112,903,1,2,2,2,2
5_3,3.698,902,1,2,2,2,2
5_3,12.933,896,1,2,2,2,2
5_3,17.031,895,1,2,2,2,2
5_3,13.618,899,1,2,2,2,1
5_3,24.533,897,1,2,2,2,2
5_2,8.580,871,1,2,2,2,2
5_2,3.117,870,1,2,2,2,2
5_2,3.934,875,1,2,2,2,2
5_2,2.059,873,1,2,2,2,2
5_2,3.370,866,1,2,2,2,2
5_2,4.297,865,1,2,2,2,2
5_2,3.710,868,1,2,2,2,2
5_2,1.444,867,0,2,2,2,2
5_2,2.870,882,1,2,2,2,2
5_2,2.633,881,1,2,2,2,2
5_2,7.959,884,1,2,2,2,2
5_2,3.053,883,1,2,2,2,2
5_2,6.341,877,1,2,2,2,2
5_2,3.902,876,1,2,2,2,2
5_2,3.827,880,1,2,2,2,2
5_2,8.319,878,1,2,2,2,2
5_1,2.598,2602,1,2,2,2,2
5_1,3.187,2601,1,2,2,2,2
5_1,1.671,2604,1,2,2,2,2
5_1,2.281,2603,1,2,2,2,2
5_1,3.601,2594,0,2,2,2,2
5_1,3.394,2592,0,2,2,2,2
5_1,0.167,2597,0,2,2,2,2
5_1,0.702,2596,1,2,2,2,2
5_1,0.225,2615,0,2,2,2,2
5_1,0.821,2613,1,2,2,2,2
5_1,6.222,2617,1,2,2,2,2
5_1,2.551,2616,1,2,2,2,2
5_1,1.460,2609,1,2,2,2,1
5_1,2.890,2606,1,2,2,2,1
5_1,0.423,2611,1,2,2,2,2
5_1,4.412,2610,1,2,2,2,2
5_1,1.484,2577,0,2,2,2,2
5_1,4.159,2574,0,2,2,2,2
5_1,0.993,2579,0,2,2,2,2
5_1,1.646,2578,1,2,2,2,1
5_1,8.935,2569,1,2,2,2,2
5_1,0.717,2568,1,2,2,2,2
5_1,2.771,2572,1,2,2,2,2
5_1,7.784,2571,0,2,2,2,2
5_1,2.279,2588,1,2,2,2,2
5_1,5.924,2587,1,2,2,2,2
5_1,6.895,2591,1,2,2,2,2
5_1,0.560,2590,1,2,2,2,2
5_1,0.242,2582,1,2,2,2,2
5_1,4.319,2580,1,2,2,2,1
5_1,0.589,2586,1,2,2,2,2
5_1,0.657,2583,1,2,2,2,2
4_3,4.196,2555,1,2,2,2,2
4_3,0.444,2553,1,2,2,2,2
4_3,2.283,2557,1,2,2,2,2
4_3,2.565,2556,1,2,2,2,2
4_3,0.765,2550,1,2,2,2,2
4_3,0.569,2549,1,2,2,2,2
4_3,4.875,2552,1,2,2,2,2
4_3,1.168,2551,1,2,2,2,2
5_1,2.663,2565,1,2,2,2,2
5_1,0.587,2563,1,2,2,2,1
5_1,0.150,2567,1,2,2,2,2
5_1,0.357,2566,0,2,2,2,2
5_1,4.428,2560,0,2,2,2,2
4_3,0.250,2558,0,2,2,2,2
5_1,1.290,2562,1,2,2,2,2
5_1,0.688,2561,0,2,2,2,2
4_2,1.211,2529,0,2,2,2,2
4_2,0.841,2528,1,2,2,2,2
4_2,3.240,2535,1,2,2,2,2
4_2,1.396,2532,1,2,2,2,2
4_2,0.047,2523,0,2,2,2,2
4_2,1.467,2521,1,2,2,2,2
4_2,7.286,2526,1,2,2,2,1
4_2,3.667,2525,1,2,2,2,2
4_3,2.940,2543,1,2,2,2,2
4_2,1.205,2541,1,2,2,2,2
4_3,5.938,2548,1,2,2,2,2
4_3,2.083,2546,1,2,2,2,2
4_2,0.671,2538,1,2,2,2,2
4_2,1.240,2537,1,2,2,2,2
4_2,1.544,2540,1,2,2,2,2
4_2,0.650,2539,1,2,2,2,2
4_2,2.101,2509,1,2,2,2,2
4_2,2.458,2508,1,2,2,2,2
4_2,3.254,2511,1,2,2,2,2
4_2,3.551,2510,1,2,2,2,2
4_2,2.274,2505,1,2,2,2,2
4_2,9.809,2502,1,2,2,2,2
4_2,0.995,2507,1,2,2,2,2
4_2,0.294,2506,0,2,2,2,2
4_2,3.825,2517,1,2,2,2,2
4_2,3.020,2516,1,2,2,2,2
4_2,0.849,2520,1,2,2,2,2
4_2,3.297,2518,1,2,2,2,2
4_2,2.425,2513,1,2,2,2,2
4_2,3.934,2512,1,2,2,2,2
4_2,2.279,2515,1,2,2,2,2
4_2,0.245,2514,1,2,2,2,2
