#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
120;25;Fichte;100;1;2033;23.4792996544343;22.0;Restholz 1;Restholz 1;20.1;1.9;4.45;2.39;0.0;0.0;0.0;0.0;0.0;0.05;
#Summe:;25;Fichte;100;1;2033;23.4792996544343;22.0;;;;;;;;0.41;0.45;;;35.75;
#
121;26;Buche;200;1;2033;32.178083386405;18.0;L1;3a;0.3;3.5;33.13;30.04;28.06;0.24;0.25;0.0;0.4;16.09;
122;26;Buche;200;1;2033;32.178083386405;18.0;L1;2b;3.9;5.5;27.96;25.18;21.46;0.26;0.28;0.0;0.13;13.23;
123;26;Buche;200;1;2033;32.178083386405;18.0;L1;1b;9.5;6.0;21.3;15.67;8.27;0.12;0.13;0.0;0.0;5.85;
124;26;Buche;200;1;2033;32.178083386405;18.0;Restholz 1;Restholz 1;15.6;2.4;7.98;4.29;0.0;0.0;0.0;0.0;0.0;0.22;
#Summe:;26;Buche;200;1;2033;32.178083386405;18.0;;;;;;;;0.63;0.67;;;35.39;
#
125;27;Tanne;101;2;2033;14.9065050184242;10.0;L2;1a;0.3;9.5;13.96;10.61;1.02;0.08;0.09;0.0;0.0;4.2;
126;27;Tanne;101;2;2033;14.9065050184242;10.0;Restholz 1;Restholz 1;9.9;0.1;0.52;0.26;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;27;Tanne;101;2;2033;14.9065050184242;10.0;;;;;;;;0.08;0.09;;;4.2;
#
127;28;Tanne;101;2;2033;46.8900078153798;24.0;L2;4;0.3;9.0;45.77;40.05;35.33;1.13;1.27;0.0;0.72;125.69;
128;28;Tanne;101;2;2033;46.8900078153798;24.0;L2;3a;9.4;8.5;35.22;30.2;23.2;0.6;0.68;0.0;0.11;64.96;
129;28;Tanne;101;2;2033;46.8900078153798;24.0;L1;1b;18.0;3.0;22.98;19.32;14.58;0.08;0.1;0.0;0.02;6.23;
130;28;Tanne;101;2;2033;46.8900078153798;24.0;Restholz 1;Restholz 1;21.1;2.9;14.21;8.08;0.0;0.02;0.02;0.0;0.0;0.87;
