fsID,area,HYBRID,ProtFor,fs_NatRes,fs_NatProt,BAU,WOOD,BIO,ds,Cluster_ID,ds_text,rst,SEmme,Above1000m,area_ha,age,elev,SHORTNAME
699,16324,3,0,0,0,3,3,1,ds4,2208.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.632,not_young,989.6,Fontannen b. W.
700,47256,3,0,0,0,3,3,3,ds6,2125.0,Starkes Baumholz,Starkes Baumholz_6,1,1,4.726,not_young,1037.7,Schüpfheim
703,28045,3,0,0,0,3,3,1,ds2,300.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,2.805,young,788.6,Bramboden
705,20156,3,0,0,0,3,3,3,ds5,2149.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.016,not_young,1054.7,Escholzmatt
707,7656,3,0,0,0,3,3,3,ds2,290.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,0.766,young,778.1,Hasle LU
708,19774,3,0,0,0,3,3,3,ds6,77.0,Starkes Baumholz,Starkes Baumholz_13,1,1,1.977,not_young,1023.7,Escholzmatt
715,14964,3,0,0,0,3,3,3,ds2,294.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,1.496,young,978.5,Romoos
722,12832,3,0,0,0,3,3,3,ds3,216.0,Stangenholz,Stangenholz_13,1,1,1.283,not_young,973.5,Escholzmatt
727,4012,3,0,0,0,3,3,3,ds6,6240.0,Starkes Baumholz,Starkes Baumholz_6,1,1,0.401,not_young,1096.1,Escholzmatt
731,40094,2,1,0,1,2,2,2,ds4,2184.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,4.009,not_young,825.5,Escholzmatt
738,27518,3,0,0,0,3,3,1,ds4,4224.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,2.752,not_young,1129.7,Romoos
744,7478,3,0,0,0,3,3,3,ds1,332.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,0.748,young,1107.4,Escholzmatt
749,36734,3,0,0,0,3,3,3,ds5,6195.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.673,not_young,1013.8,Romoos
752,60262,3,0,0,0,3,3,3,ds5,4158.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,6.026,not_young,1057.5,Romoos
758,4119,3,0,0,0,3,3,3,ds3,186.0,Stangenholz,Stangenholz_6,1,1,0.412,not_young,1062.2,Escholzmatt
760,28680,3,0,0,0,3,3,3,ds4,4212.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,2.868,not_young,1183.5,Escholzmatt
761,9319,2,1,0,1,2,2,2,ds4,2175.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,0.932,not_young,950.4,Wiggen
762,26993,3,0,0,0,3,3,3,ds4,2160.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,2.699,not_young,858.3999999999999,Escholzmatt
765,21568,3,0,0,0,3,3,3,ds2,255.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,2.157,young,1152.2,Schüpfheim
770,1621,3,0,0,0,3,3,3,ds4,6240.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,0.162,not_young,1018.2,Escholzmatt
772,15180,3,0,0,0,3,3,3,ds2,240.0,Jungwuchs/Dickung,Jungwuchs/Dickung_6,1,1,1.518,young,1124.9,Escholzmatt
773,24031,3,0,0,0,3,3,3,ds6,1925.0,Starkes Baumholz,Starkes Baumholz_6,1,1,2.403,not_young,1087.3,Escholzmatt
775,11427,3,0,0,0,3,3,3,ds4,2154.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.143,not_young,976.8,Escholzmatt
780,12452,3,0,0,0,3,3,3,ds5,54.0,Mittleres Baumholz,Mittleres Baumholz_13,1,1,1.245,not_young,1002.0,Hasle LU
785,34749,2,1,0,1,2,2,2,ds6,3990.0,Starkes Baumholz,Starkes Baumholz_6,1,1,3.475,not_young,1007.7,Escholzmatt
787,6664,3,0,0,0,3,3,3,ds1,296.0,Jungwuchs/Dickung,Jungwuchs/Dickung_13,1,1,0.666,young,996.7,Romoos
789,28486,4,1,0,1,2,4,2,ds5,35.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,2.849,not_young,881.5,Escholzmatt
790,42753,3,0,0,0,3,3,3,ds5,34.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,4.275,not_young,1000.0,Fontannen b. W.
805,38142,3,0,0,0,3,3,3,ds5,6156.0,Mittleres Baumholz,Mittleres Baumholz_6,1,1,3.814,not_young,1087.4,Romoos
808,12979,3,0,0,0,3,3,3,ds4,84.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,1.298,not_young,1024.0,Romoos
813,24107,3,0,0,0,3,3,3,ds4,75.0,Schwaches Baumholz,Schwaches Baumholz_6,1,1,2.411,not_young,1017.6,Escholzmatt
816,44590,3,0,0,0,3,3,3,ds6,6066.0,Starkes Baumholz,Starkes Baumholz_6,1,1,4.459,not_young,1051.9,Escholzmatt
822,38976,2,1,0,1,2,2,2,ds4,66.0,Schwaches Baumholz,Schwaches Baumholz_4,1,1,3.898,not_young,735.7,Doppleschwand
830,2944,3,0,0,0,3,3,3,ds3,132.0,Stangenholz,Stangenholz_6,1,1,0.294,not_young,1020.2,Escholzmatt
843,48866,3,0,0,0,3,3,3,ds6,4032.0,Starkes Baumholz,Starkes Baumholz_6,1,1,4.887,not_young,1044.9,Schüpfheim
858,27100,3,0,0,0,3,3,3,ds3,96.0,Stangenholz,Stangenholz_6,1,1,2.71,not_young,725.7999999999998,Rengg
863,22135,3,0,0,0,3,3,3,ds4,4114.0,Schwaches Baumholz,Schwaches Baumholz_13,1,1,2.213,not_young,987.2,Romoos
