#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
134;Fichte;100;52;2018;9.463777048949504;0;10.728713677161409
135;Fichte;100;59;2018;22.86448042259618;0;21.634950581302093
136;Fichte;100;62;2018;28.632976135238493;0;25.67230098351333
137;Fichte;100;74;2018;15.096363566762069;0;15.57645399923053
138;Ubrige Laubholzer;299;76;2018;1.692824870781055;0;3.47543030401612
139;Fichte;100;77;2018;43.8165408851601;0;34.27362890468414
140;Ahorn;203;88;2018;1.239415901987633;0;2.3970961198186247
141;Foehre;102;91;2018;1.3718057518412137;0;2.8155352011082795
142;Ubrige Laubholzer;299;91;2018;1.394007411302645;0;3.123056686316859
143;Ubrige Laubholzer;299;91;2018;1.4781471144006784;0;3.0733747533139355
144;Fichte;100;106;2018;44.63719586037888;0;34.6476200465845
145;Fichte;100;108;2018;24.768648532142816;0;22.99334552300511
146;Ubrige Laubholzer;299;113;2018;1.3114197876470717;0;2.9019727439481464
147;Ubrige Laubholzer;299;113;2018;1.2931976569005783;0;2.718789903491336
148;Ubrige Laubholzer;299;113;2018;1.2931976569005783;0;2.718789903491336
149;Ubrige Laubholzer;299;113;2018;1.2931976569005783;0;2.718789903491336
150;Ubrige Laubholzer;299;113;2018;1.2931976569005783;0;2.718789903491336
151;Ubrige Laubholzer;299;113;2018;1.2931976569005783;0;2.718789903491336
152;Ubrige Laubholzer;299;118;2018;1.3361490148648822;0;2.9237390731155553
153;Ubrige Laubholzer;299;118;2018;1.3361490148648822;0;2.9237390731155553
154;Ubrige Laubholzer;299;126;2018;1.2153960800661463;0;2.782405230216001
155;Fichte;100;129;2018;1.5861509334801422;0;3.074064908341883
156;Fichte;100;129;2018;1.5861509334801422;0;3.074064908341883
157;Ubrige Laubholzer;299;129;2018;1.4322563931673868;0;3.0286939314968997
158;Ubrige Laubholzer;299;159;2018;1.3656790599643416;0;2.9507197154763105
159;Fichte;100;161;2018;35.9152717880337;0;30.068845568016272
160;Fichte;100;169;2018;16.554025151621147;0;16.92824861159693
