area_ha,id,alt_zone,ds,rst_code,dev_stage,rst,priv,for_res,BAU,BIO,WOOD,HYBRID,fsID,age
2.412448824305413,9707.0,4.0,ds5,ds5_4,Mittleres Baumholz,Mittleres Baumholz_4,0.0,1.0,1.0,1.0,1.0,1.0,3577,not_young
3.494644516464416,9708.0,4.0,ds5,ds5_4,Mittleres Baumholz,Mittleres Baumholz_4,0.0,0.0,3.0,3.0,3.0,3.0,3578,not_young
2.940607723529797,9710.0,4.0,ds2,ds2_4,Jungwuchs/Dickung,Jungwuchs/Dickung_4,0.0,0.0,3.0,3.0,3.0,3.0,3579,young
0.928696789856626,9711.0,4.0,ds3,ds3_4,Stangenholz,Stangenholz_4,0.0,1.0,1.0,1.0,3.0,3.0,3580,not_young
1.020415308548172,9712.0,13.0,ds6,ds6_13,Starkes Baumholz,Starkes Baumholz_13,0.0,1.0,1.0,1.0,1.0,1.0,3581,not_young
0.602172705145576,9713.0,4.0,ds6,ds6_4,Starkes Baumholz,Starkes Baumholz_4,0.0,1.0,1.0,1.0,1.0,1.0,3582,not_young
0.602973737063824,9714.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3583,not_young
0.997463849061809,9716.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3584,not_young
0.881733973325975,9718.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3585,not_young
1.345341868278943,9719.0,13.0,ds6,ds6_13,Starkes Baumholz,Starkes Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3586,not_young
0.574132212669763,9720.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,1.0,1.0,1.0,1.0,1.0,3587,not_young
2.15336624963677,9721.0,13.0,ds4,ds4_13,Schwaches Baumholz,Schwaches Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3588,not_young
0.608372053968729,9722.0,13.0,ds6,ds6_13,Starkes Baumholz,Starkes Baumholz_13,0.0,1.0,1.0,1.0,3.0,3.0,3589,not_young
0.968266171435639,9723.0,13.0,ds3,ds3_13,Stangenholz,Stangenholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3590,not_young
0.526322521030717,9724.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3591,not_young
0.580097006270988,9725.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3592,not_young
0.782134996861964,9727.0,4.0,ds2,ds2_4,Jungwuchs/Dickung,Jungwuchs/Dickung_4,0.0,0.0,3.0,3.0,4.0,3.0,3593,young
2.364770849551115,9728.0,13.0,ds5,ds5_13,Mittleres Baumholz,Mittleres Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3594,not_young
1.415128631608209,9730.0,13.0,ds1,ds1_13,Jungwuchs/Dickung,Jungwuchs/Dickung_13,0.0,0.0,3.0,3.0,4.0,3.0,3595,young
3.177959137880267,9731.0,13.0,ds6,ds6_13,Starkes Baumholz,Starkes Baumholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3596,not_young
1.090436006828956,9732.0,13.0,ds3,ds3_13,Stangenholz,Stangenholz_13,0.0,0.0,3.0,3.0,3.0,3.0,3597,not_young
0.587547640214954,9735.0,4.0,ds2,ds2_4,Jungwuchs/Dickung,Jungwuchs/Dickung_4,0.0,0.0,3.0,3.0,3.0,3.0,3598,young
0.723018816125178,9736.0,4.0,ds4,ds4_4,Schwaches Baumholz,Schwaches Baumholz_4,0.0,0.0,3.0,3.0,4.0,3.0,3599,not_young
