area_ha,alt_zone,type,age,BAU,HYBRID,WOOD,NONE,BIO,fsID,ds,rst,distance,elev,SHORTNAME
0.5,8,nat15,young,3,3,3,0,1,7247,Jungwuchs/Dickung,Jungwuchs/Dickung_8,533.6076987638966,1429.9,Andiast
0.3,9,plant30,young,3,3,4,0,3,7248,Jungwuchs/Dickung,Jungwuchs/Dickung_9,7.874042552169472,2035.5,Surrein
1.2,11,other,young,3,3,3,0,3,6265,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1510.1,Cumpadials
1.9,8,other,young,3,3,3,0,3,7253,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1440.1,Cumpadials
3.1,12,other,young,3,3,3,0,3,7254,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1603.3,Surrein
0.3,12,plant30,young,3,3,4,0,3,7251,Jungwuchs/Dickung,Jungwuchs/Dickung_12,68.19553604169596,1293.4,Surrein
0.4,12,res_no_prot,young,1,1,1,0,1,7252,Jungwuchs/Dickung,Jungwuchs/Dickung_12,70.62618217798912,1717.9,Surrein
2.0,11,plant10,young,3,4,4,0,3,7289,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,870.2999999999998,Siat
0.6,11,other,young,3,3,3,0,3,7290,Jungwuchs/Dickung,Jungwuchs/Dickung_11,73.45397291876586,1693.7,Zignau
6.1,8,prot_no_nat,young,2,2,2,0,2,7287,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1176.1,Waltensburg/Vuorz
6.3,8,other,young,3,3,3,0,3,7288,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1275.5,Surrein
1.8,12,prot_no_nat,young,2,2,2,0,2,7293,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,964.9,Curaglia
0.1,8,plant10,young,3,4,4,0,3,7294,Jungwuchs/Dickung,Jungwuchs/Dickung_8,1240.062355154548,1637.0,Pigniu
0.5,11,prot_no_nat,young,2,2,2,0,2,6530,Jungwuchs/Dickung,Jungwuchs/Dickung_11,476.7341229836503,1013.7,Siat
0.7,12,plant30,young,3,3,4,0,3,7291,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1709.0,Surrein
0.4,8,nat15,young,3,3,3,0,1,7292,Jungwuchs/Dickung,Jungwuchs/Dickung_8,580.4936357057791,1542.9,Andiast
1.0,11,prot_no_nat,young,1,2,2,0,2,6532,Jungwuchs/Dickung,Jungwuchs/Dickung_11,491.97265012332014,737.8999999999999,Waltensburg/Vuorz
0.7,8,other,young,3,3,3,0,3,7273,Jungwuchs/Dickung,Jungwuchs/Dickung_8,40.820552991279065,1320.8,Sedrun
0.4,8,plant30,young,3,3,4,0,3,7274,Jungwuchs/Dickung,Jungwuchs/Dickung_8,485.0282045797986,1497.4,Sedrun
0.8,5,plant30,young,3,3,4,0,3,7271,Jungwuchs/Dickung,Jungwuchs/Dickung_5,8.248443890387003,1138.2,Surrein
4.8,12,other,young,3,3,3,0,3,7272,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1572.9,Surrein
0.3,12,nat15,young,3,3,3,0,1,7277,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1229.1,Sumvitg
0.3,12,nat15,young,3,3,3,0,1,7278,Jungwuchs/Dickung,Jungwuchs/Dickung_12,95.79367922453545,1774.0,Surrein
0.8,12,nat15,young,1,3,3,0,1,6255,Jungwuchs/Dickung,Jungwuchs/Dickung_12,13.355816109201005,1371.3,Surrein
3.0,5,other,young,3,3,3,0,3,7275,Jungwuchs/Dickung,Jungwuchs/Dickung_5,0.0,1538.2,Sumvitg
2.2,11,other,young,3,3,3,0,3,7276,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1016.3,Rueun
0.1,5,res_no_prot,young,1,1,1,0,1,7281,Jungwuchs/Dickung,Jungwuchs/Dickung_5,14.536882732520146,1992.7,Surrein
0.6,12,plant10,young,3,4,4,0,3,7282,Jungwuchs/Dickung,Jungwuchs/Dickung_12,15.990451777621468,1450.8,Sedrun
7.0,11,prot_no_nat,young,2,2,2,0,2,7279,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,846.3999999999999,Cumpadials
0.6,11,other,young,3,3,3,0,3,6260,Jungwuchs/Dickung,Jungwuchs/Dickung_11,11.935206220845007,1051.5,Rabius
0.6,12,plant10,young,3,4,4,0,3,7280,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1654.6,Curaglia
0.2,11,plant10,young,3,4,4,0,3,7285,Jungwuchs/Dickung,Jungwuchs/Dickung_11,60.654315529007526,1510.9,Surrein
0.6,11,plant30,young,3,3,4,0,3,7286,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1039.9,Cumpadials
4.6,12,plant30,young,3,3,4,0,3,7283,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1848.6,Surrein
2.9,11,other,young,3,3,3,0,3,7284,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,855.2999999999998,Surrein
0.4,11,prot_no_nat,young,2,2,2,0,2,7321,Jungwuchs/Dickung,Jungwuchs/Dickung_11,16.607502747267965,1192.0,Rabius
1.0,11,prot_no_nat,young,2,2,2,0,2,6772,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1450.4,Obersaxen
1.3,11,prot_no_nat,young,2,2,2,0,2,7319,Jungwuchs/Dickung,Jungwuchs/Dickung_11,27.27208482370415,1159.8,Waltensburg/Vuorz
1.3,11,prot_no_nat,young,2,2,2,0,2,7320,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1307.1,Sumvitg
0.8,11,other,young,3,3,3,0,3,6305,Jungwuchs/Dickung,Jungwuchs/Dickung_11,17.658224352960797,1273.1,Sumvitg
0.4,11,prot_no_nat,young,2,2,2,0,2,7330,Jungwuchs/Dickung,Jungwuchs/Dickung_11,27.767226962122272,1161.4,Schnaus
4.0,11,prot_no_nat,young,2,2,2,0,2,7327,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1152.5,Rueun
0.2,11,prot_no_nat,young,2,2,2,0,2,7334,Jungwuchs/Dickung,Jungwuchs/Dickung_11,364.9699544939284,1133.8,Luven
1.5,11,prot_no_nat,young,2,2,2,0,2,7313,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1390.3,Obersaxen
0.8,8,prot_no_nat,young,2,2,2,0,2,6549,Jungwuchs/Dickung,Jungwuchs/Dickung_8,0.0,1652.3,Waltensburg/Vuorz
3.2,12,plant10,young,3,4,4,0,3,7314,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1276.2,Rueun
1.6,11,prot_no_nat,young,2,2,2,0,2,7311,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1169.0,Schlans
1.2,11,prot_no_nat,young,2,2,2,0,2,7312,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1256.2,Zignau
0.9,11,prot_no_nat,young,2,2,2,0,2,7317,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1190.8,Trun
1.9,12,plant10,young,3,4,4,0,3,7318,Jungwuchs/Dickung,Jungwuchs/Dickung_12,0.0,1558.7,Trun
0.6,12,other,young,3,3,3,0,3,6327,Jungwuchs/Dickung,Jungwuchs/Dickung_12,84.79672153022739,1286.3,Surrein
6.2,11,prot_no_nat,young,2,2,2,0,2,7315,Jungwuchs/Dickung,Jungwuchs/Dickung_11,0.0,1217.2,Cumpadials
